Vulnerability,Category,Length
"	if attacktype == sql_injection:		falsepayload = sqli.get_false()[num%id]		badhtml = ""str$id""		if method == ""str$id"":			geturl = url + ""str$id"" + paramname+""str$id""+falsepayload			content = requests.get(geturl)			badhtml =  content.text		elif method == ""str$id"":			content = requests.post(url, data={paramname:falsepayload})			badhtml = content.text		compare_res = sqli.compare_html(badhtml, html)				match = re.findall(r""str$id"", compare_res)		return none",sql_injection,48
"        cur.execute(""str$id"".format(key, value))",sql_injection,2
"                for malt_row in cursor.execute(""str$id""%s\""str$id"" % recipe.name):                for rest_row in cursor.execute(""str$id""%s\""str$id"" % recipe.name):                for hop_dosage_row in cursor.execute(""str$id""%s\""str$id"" % recipe.name):",sql_injection,18
	return event,sql_injection,2
"            cur.execute(""str$id"" %name)",command_injection,2
"    annotated = flag(value, ""str$id"")",remote_code_execution,4
"			elif re.compile(""str$id"").match(field):",sql_injection,2
"      ""str$id"": bundle.json,      ""str$id"": json.dumps(coordinators),",xss,4
"        if metadata:            extra = []            for (n, v) in metadata.iteritems():                if type(v) in (int, long):                    extra.append(""str$id"" % (n, v))                else:                    extra.append(""str$id"" % (n, v))            extraq = ""str$id"".join(extra)            query = (""str$id""                     ""str$id"" %                     (self.table, ndata, extraq, now, id)                     )        else:            query = (""str$id""                     ""str$id"" %                     (self.table, ndata, now, id)                     )            self._query(query)",sql_injection,50
"        self.client.login(username=""str$id"", password=""str$id"")        response = self.client.post(url)        self.client.login(username=""str$id"", password=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,12
"            xsrf_header = request.getheader(""str$id"")",xsrf,3
"                where id=""str$id""            ""str$id""' % id",sql_injection,5
    return none ,sql_injection,2
"            self.gigachannel_community = community_cls(peer, self.ipv8.endpoint, self.ipv8.network, self.mds)",sql_injection,6
"      self.assertequal(""str$id"", swarming_server.url)",xsrf,2
"    return {""str$id"": retval}",sql_injection,3
                try: o[k[num%id:]] = eval(v[i])                except: o[k[num%id:]] = v[i]            if b: return eval(b)            else: raise,remote_code_execution,14
"        if not data[""str$id""].isalpha():            return jsonify({""str$id"": num%id, ""str$id"": ""str$id""логин\""str$id""})",sql_injection,8
"        out = self._cli_run(""str$id"", none)",command_injection,4
"  def assertbasechecks(self, mc, request):",xsrf,4
import shlex,command_injection,2
"        self.url = ""str$id"" % (self.base_url, submission_id)",xsrf,6
"        ssh_cmd = (""str$id""                   % {""str$id"": extend_amt, ""str$id"": volume[""str$id""]})",command_injection,8
"            conds.append(""str$id"" % (self.table, oid))            conds.append(""str$id"" % (name, value))        self._query(query)",sql_injection,9
"    self._temp_options_filename = none      self._temp_options_filename = options_file.name      json.dump( dict( self._user_options ), options_file )",remote_code_execution,12
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))",xsrf,3
"        if ""str$id"" in line:            ip = line.split()[-num%id].split(""str$id"")[-num%id]            if ip not in ips:                ips[ip] = num%id                print(ip)                sys.stdout.flush()            else:                ips[ip] += num%id            if ip not in banned and ips[ip] >= config.count:                banned.add(ip)                cmd = ""str$id"" % ip                print(cmd, file=sys.stderr)                sys.stderr.flush()                os.system(cmd)",command_injection,40
"            field=models.foreignkey(to=""str$id""),            field=models.foreignkey(to=""str$id""),",sql_injection,2
                try: o[k[num%id:]] = eval(v[i])                except: o[k[num%id:]] = v[i]            if b: return eval(b)            else: raise,remote_code_execution,14
"    query = ""str$id""+account_id+""str$id""    cur.execute(query)",sql_injection,4
"            self.execute(""str$id"" % table)",sql_injection,3
"def login():   if request.method == ""str$id"":      session[""str$id""] = request.form[""str$id""]      return redirect(url_for(""str$id""))",sql_injection,11
"from .tasks import taskviewset, tasktiles, tasktilesjson, taskassets",path_disclosure,7
"        show_vlun_cmd = ""str$id""",command_injection,3
"    if hasattr(worker, ""str$id""):        del worker.raylet_client    if hasattr(worker, ""str$id""):        worker.plasma_client.disconnect()",open_redirect,9
        self.kp = num%id.num%id * num%id   #wzmocnienie czesci proporcjonalnej        self.ki = num%id.num%id * num%id    #wzmocnienie czesci calkujacej,path_disclosure,16
"			query=""str$id"".format(data)				cursor.execute(query)",sql_injection,2
    path_sub_update_delta = num%id.num%id    #co ile sekund aktualizowac podsciezke?,path_disclosure,8
"        self.do_step(loginrequest(self.browser,                                  self.username,                                  self.password,                                  base_url=self.base_url))",xsrf,4
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.delete(url)",xsrf,14
"                (""str$id"", models.foreignkey(related_name=""str$id"", to=""str$id"")),",sql_injection,3
"        ssh_cmd = ""str$id"" % pool",command_injection,5
"from twisted.application import service, strports",xsrf,5
"def listen_error_messages_raylet(worker, task_error_queue):",open_redirect,3
"		tableid = none		if scope == ""str$id"":			tableid = -num%id		elif scope == ""str$id"":			self.db.execute(""str$id""""str$id""""str$id"" % name)			tableid, = self.db.fetchone()			self.db.execute(""str$id""""str$id""""str$id"", name)			tableid, = self.db.fetchone()			self.db.execute(""str$id""""str$id""""str$id"" % name)			tableid, = self.db.fetchone()				sqlvars = ""str$id""		sqldata = ""str$id"" % \			(scope, tableid, device, mountpt, size, fstype, options)		if partid:			sqlvars += ""str$id""			sqldata += ""str$id"" % partid		self.db.execute(""str$id""""str$id""""str$id"" % (sqlvars, sqldata))",command_injection,60
"    sql = ""str$id"" + documentobject.__class__.__name__ + ""str$id"" + documentobject.id + ""str$id""        if columntype == ""str$id"":            quote = ""str$id""        elif columntype == ""str$id"":            quote = ""str$id""        else:            assert false            quote = ""str$id""        sql += ""str$id""            sql += quote + parentobject.id + quote            sql += quote + str(getattr(documentobject, columnname)) + quote    self.database.execute(sql)",sql_injection,50
"            ""str$id"": {""str$id"": ""str$id""},      (        ""str$id"",        {""str$id"": {}, ""str$id"": {""str$id"": ""str$id""}},        {""str$id"": ""str$id""},      ),",xsrf,13
            level = by_hash[pick],path_disclosure,3
"    query = ""str$id""  % search_enzyme    query = ""str$id"" % search_process1    query = ""str$id"" % search_process2    query = ""str$id"" % search_enzyme2    query = ""str$id"" % search_process3    query = ""str$id"" % sub    query = ""str$id"" % inter    query = ""str$id"" % search_process5    query = ""str$id"" % (search_enzyme3, reac)    query = ""str$id"" % search_enzyme4    query = ""str$id"" % inter2",sql_injection,56
"            if _valid_command(grain[key]):                value = __salt__[""str$id""](""str$id"".format(grain[key])).split(""str$id"")[num%id].strip()                grains[key] = value            if _valid_command(pillar[key]):                value = __salt__[""str$id""](""str$id"".format(pillar[key])).split(""str$id"")[num%id].strip()                grains[key] = valuedef _valid_command(string):    ""str$id""""str$id""""str$id""    invalid_characters = re.findall(""str$id"",string)    if len(invalid_characters) > num%id:        log.info(""str$id"".format(string, invalid_characters))        return false    else:        return true",command_injection,32
"        ajax = self.get_argument(""str$id"", false)        if ajax:            x, y = template_name.split(""str$id"")            template_name = ""str$id"".join([x,""str$id""])",xsrf,13
"            self.logger.info(""str$id"" % base)",sql_injection,3
"                            db.log_event_exception(                                ""str$id"")                        self.serial.port+""str$id""+str(self.result_data[""str$id""])+""str$id""",command_injection,3
"                                               ""str$id"": ""str$id"",",open_redirect,2
"        c.execute(""str$id"", (username, ))            c.execute(""str$id"", (new_hash_salt[num%id], new_hash_salt[num%id], username))",sql_injection,7
"                        event_buff = buff.replace(event_buff_logged, ""str$id"")                        db.log_event(self.result_data[""str$id""],                                     (""str$id"" if not self.aux else ""str$id""),                                     ""str$id"", event_buff)                        event_buff_logged += event_buff",command_injection,16
"            field=models.foreignkey(related_name=""str$id"", to=""str$id""),            field=models.foreignkey(related_name=""str$id"", to=""str$id""),",sql_injection,4
"    ""str$id""""str$id""%s""str$id""%s""str$id""%s/%s/%s""str$id""%s/%s/%s"".' % (                master_name, builder_name, build_number), num%id)      analysis = build_failure_analysis_pipelines.scheduleanalysisifneeded(          master_name, builder_name, build_number,          build_completed=build_completed, force=force,          queue_name=constants.waterfall_analysis_queue)",xsrf,16
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url, content_type=""str$id"")",xsrf,9
"        show_vlun_cmd = ""str$id""",command_injection,3
"from cms import config, servicecoord, get_service_addressfrom cmstestsuite.web.cwsrequests import homepagerequest, loginrequest, \",xsrf,11
"                  campaign=false, success=none):",command_injection,2
"            where pt.id = %d and            order by abs(ai.date_invoice - date ""str$id"")        ""str$id"""" % (prod.id, in_date)        self._cr.execute(query)        invoice_lines = self._cr.fetchall()        if invoice_lines:            for invoice_line in invoice_lines:",sql_injection,25
"            field=models.foreignkey(related_name=""str$id"", null=true, to=""str$id"", blank=true),",sql_injection,4
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.delete(url)",xsrf,14
"	import get_leave_allocation_records, get_leave_balance_on, get_approved_leaves_for_period					_(""str$id"") + ""str$id"", 		_(""str$id"") + ""str$id"", ",sql_injection,10
"    with open(""str$id"", ""str$id"") as f:        sql_raw = f.read()    sql_template = template(sql_raw)",sql_injection,11
"        sys.exit(num%id)	",path_disclosure,1
"                %s,                %s,                %s,                %s        ""str$id""' % (y_ts, inverter_serial, etoday, etotal)        self.c.execute(query)",sql_injection,11
"	return ""str$id""",xss,2
"    cursor.execute(""str$id"", match)",sql_injection,2
"    c.execute(""str$id""""str$id""""str$id"" % (winner, loser))                                               c.execute(""str$id""""str$id""""str$id"" % (winner,))                                                     c.execute(""str$id""""str$id""""str$id"" % (loser,))                                                  ",sql_injection,10
"    answers = db.execute(""str$id"" % (pollid, answerindex))    db.execute(""str$id"", (sender, pollid))    db.execute(""str$id"", (answerid, sender))",sql_injection,12
        response = self.client.get(url),xsrf,3
"        return database_utilities.execute_query(f""str$id""""str$id""""str$id"")        return database_utilities.execute_query(f""str$id""""str$id""""str$id"")        query += f""str$id""""str$id""""str$id""        parameters = (json_data[""str$id""], )",sql_injection,11
"			stmt = ""str$id"".format(name_filter)",sql_injection,3
from benwaonline.gallery import galleryfrom benwaonline.gallery.forms import images,open_redirect,7
    if user:,xsrf,2
            csr_state_id=csr_state_logout.csr_state_id,open_redirect,1
        for f in self.forums:,remote_code_execution,4
"    def add_store(self, store):        ""str$id""""str$id""add new store""str$id""""        t = (store[num%id], )        self.cursor.execute(""str$id"", t)        self.connection.commit()",sql_injection,13
"		print ""str$id""		print ""str$id"", anglewant		print ""str$id"", anglehave",path_disclosure,8
"from marshmallow import schema,fields",sql_injection,4
"			if port == ""str$id"":port = num%id",command_injection,6
"                        pipeline.get_login_url(provider_id, pipeline.auth_entry_login, redirect_url=redirect_to)        except (keyerror, valueerror, indexerror):            pass",open_redirect,8
"        show_host_cmd = ""str$id""        create_host_cmd = (""str$id""                           ""str$id"")",command_injection,7
"                files = {""str$id"": img_file}                r = self.session.post(image_upload_url, files=files, headers={""str$id"": token})                if (r.status_code != num%id):                    print(r.status_code)                except (keyerror, valueerror) as e:",xsrf,20
"        response = self.client.post(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.assertequal(self.client.put(url).status_code, num%id)        self.assertequal(self.client.patch(url).status_code, num%id)        self.assertequal(self.client.delete(url).status_code, num%id)        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)",xsrf,36
from django import forms,open_redirect,4
"                        db.log_event_exception(                            ""str$id"")                    self.serial.port+""str$id""+str(self.result_data[""str$id""])+""str$id""",command_injection,3
"def shutdown(app, context):    ""str$id""""str$id""""str$id""    with app.app_context():        get_db(app, context).close()",sql_injection,8
            resp = self.assertraises(,xsrf,3
"        ssh_cmd = (""str$id""                   % {""str$id"": extend_amt, ""str$id"": volume[""str$id""]})",command_injection,8
"        sql_str = ""str$id""        if self.end_date:            sql_str = f""str$id""            cursor.execute(sql_str)",sql_injection,9
"        ssh_cmd = ""str$id""",command_injection,3
import re,sql_injection,2
"				 ""str$id"".join(self.or_conditions)",sql_injection,1
"                (""str$id"", models.foreignkey(related_name=""str$id"", to=""str$id"")),",sql_injection,3
"            sql = ""str$id"" + str(base_url) + ""str$id""            result = self.db.exec(sql)",sql_injection,10
"                    vrf=dstt[""str$id""][""str$id""], l2path=l2path)def get_switched_path(switch1, switch2, rtype=""str$id"", verbose=true):    ""str$id""""str$id""""str$id""    rtypes = (""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"")    if rtype in rtypes:        logger.info(""str$id"",                    switch1, switch2, nglib.user)        pathlist = []        ngtree = nglib.ngtree.get_ngtree(""str$id"", tree_type=""str$id"")        ngtree[""str$id""] = switch1 + ""str$id"" + switch2        dist = dict()        swp = nglib.py2neo_ses.cypher.execute(            ""str$id""            + ""str$id""            + ""str$id""            + ""str$id""            + ""str$id""            + ""str$id""            + ""str$id""            + ""str$id""            + ""str$id""            + ""str$id"",            {""str$id"": switch1, ""str$id"": switch2})        last = num%id        for rec in swp:            swptree = nglib.ngtree.get_ngtree(""str$id"", tree_type=""str$id"")            if rec.distance == num%id:                swptree[""str$id""] = rec.distance + num%id                last = num%id            elif last:                if rec.distance == last:                    last += num%id                    swptree[""str$id""] = rec.distance + num%id                elif rec.distance == (last-num%id):                    swptree[""str$id""] = rec.distance + num%id                else:                    swptree[""str$id""] = rec.distance                    last = num%id            else:                swptree[""str$id""] = rec.distance            swptree[""str$id""] = ""str$id"" + str(swptree[""str$id""]) + ""str$id"" + \            rec.psw + ""str$id"" + rec.pport +  ""str$id"" \            + rec.csw + ""str$id"" + rec.cport + ""str$id""            nglib.ngtree.add_child_ngtree(ngtree, swptree)            swptree[""str$id""] = rec.csw            swptree[""str$id""] = rec.cport            swptree[""str$id""] = rec.psw            swptree[""str$id""] = rec.pport            if rec.cpc:                swptree[""str$id""] = rec.cpc                swptree[""str$id""] = rec.ppc            if rec.rvlans:                swptree[""str$id""] = rec.vlans                swptree[""str$id""] = rec.rvlans                swptree[""str$id""] = rec.p_rvlans                swptree[""str$id""] = rec.native            pathlist.append(swptree)        if pathlist:            ngtree[""str$id""] = len(pathlist)            ngtree[""str$id""] = max([s[""str$id""] for s in pathlist])            if rtype == ""str$id"":                nglib.query.print_dict_csv(pathlist)            else:                ngtree = nglib.query.exp_ngtree(ngtree, rtype)                return ngtree        elif verbose:            print(""str$id"".format(switch1, switch2))    returndef get_routed_path(net1, net2, rtype=""str$id"", vrf=""str$id"", verbose=true, l2path=true):",path_disclosure,219
"                path.push(parent, attr, rel_op)                self.traverse_many(path.clone(), attr, src_items, tgt_items,                                   visitor)                path.pop()        visitor.visit(path, attribute, source, target)    def traverse_many(self, path, attribute, source_sequence,                      target_sequence, visitor):",path_disclosure,20
"                                     ""str$id"", file_)",command_injection,2
"            with open(self.cache_file(self.plugin_cache_file), ""str$id"") as f:                x = data1.text.encode(""str$id"", ""str$id"")            with open(self.cache_file(self.version_cache_file), ""str$id"") as f:                x = data2.text.encode(""str$id"", ""str$id"")            self.logger.error(""str$id"" % str(e))",sql_injection,21
"        self.cookies.save()        os.chmod(self.cookies.filename, num%id)",xsrf,3
"                               help=""str$id"")",command_injection,1
"            ngtree = get_routed_path(src, dst, verbose=false)                 ",path_disclosure,5
        if not self._path:,path_disclosure,3
"    if not app.config[""str$id""]:        abort(num%id)    if request.json is none:",command_injection,8
"    ""str$id""""extract keywords from the list of strings",remote_code_execution,7
"        self.client.login(username=""str$id"", password=""str$id"")",open_redirect,2
       .add_constraint(jc.equivalent(expect_images))),path_disclosure,1
"				opening = get_leave_balance_on(employee.name, leave_type, filters.from_date,					allocation_records_based_on_from_date.get(employee.name, frappe._dict()))",sql_injection,7
"                        if power>num%id:                            print(""str$id"" % (power, i))                            with suppress_stdout():                                send(ip(src=target, dst=""str$id"" % i) / udp(dport=num%id)/raw(load=data), count=power)                        elif power==num%id:                            print(""str$id"" % i)                                send(ip(src=target, dst=""str$id"" % i) / udp(dport=num%id)/raw(load=data), count=power)                        if power>num%id:                            print(""str$id"" % (power, result[""str$id""]))                            with suppress_stdout():                                send(ip(src=target, dst=""str$id"" % result[""str$id""]) / udp(dport=num%id)/raw(load=data), count=power)                        elif power==num%id:                            print(""str$id"" % result[""str$id""])                                send(ip(src=target, dst=""str$id"" % result[""str$id""]) / udp(dport=num%id)/raw(load=data), count=power)",command_injection,54
"    cursor.execute(""str$id""""str$id""%s""str$id""%s""str$id""""str$id"" % (player1,player2,size))",sql_injection,3
            return false,path_disclosure,2
    return json.dumps([]),sql_injection,2
"                    next=request.args.get(""str$id"", ""str$id"")",xsrf,2
"    runs a command in shell and returns the read stdout and stderr data.    this function waits for the process to exit.    :param command: the command to run on shell.    :param kwargs:  additional keyword arguments to pass to ``subprocess.popen``                    that is used to spawn the process (except ``shell``,                    ``stdout``, ``stderr``, ``stdin`` and",command_injection,51
"                    label=q.question, required=q.required,                    label=q.question, required=q.required,                    label=q.question, required=q.required,                    label=q.question, required=q.required,",xss,8
"                    sql = ""str$id"" + str(new_last) + ""str$id""+str(base_url)+""str$id""                    self.db.exec(sql)",sql_injection,8
"    escape a literal value for use in a sql clause    if isinstance(value, literal):        return value.literal    elif isinstance(value, six.string_types):        value = value.replace(""str$id"", ""str$id"")",sql_injection,22
"    list_display = (""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"")    search_fields = (""str$id"", ""str$id"", ""str$id"")    fields = (""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"")",xss,21
"    def _run_ssh(self, command, check_exit=true, attempts=num%id):",command_injection,5
"			command = ""str$id"".format(table_name, pth)			data = self._run_command(command)",sql_injection,7
"        self._r_steps_.append((f""str$id"", roamer))        self._r_steps_.append((item_desc, roamer))        last_found_step = none, none, none            desc, roamer = step            if roamer != missing:                last_found_step = i, desc, roamer            desc, roamer = step            if roamer == missing:                return i, desc, roamer        return none, none, none",path_disclosure,38
    def unbind_methods(self):  ,remote_code_execution,2
"        cr.execute(""str$id""""str$id""""str$id"" %(""str$id"".join(map(lambda x: ""str$id"" + str(x) + ""str$id"", j_ids))))        journal_ids = map(lambda x1: x1[num%id], cr.fetchall())",sql_injection,15
"          ""str$id"" \",sql_injection,2
            return other._r_item_ == self._r_item_        return other == self._r_item_,path_disclosure,8
                                start_node_found_outside = search_start_node_outside(edge.from_node),path_disclosure,3
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.get(url)",xsrf,17
from datetime import timedelta,remote_code_execution,4
"        cr.execute(""str$id""""str$id""""str$id"" %(""str$id"".join(map(lambda x: ""str$id"" + str(x) + ""str$id"", j_ids))))        journal_ids = map(lambda x1: x1[num%id], cr.fetchall())",sql_injection,15
"        end_date = datetime.strptime(old_repeating_event.date_end, ""str$id"")            new_start_date = datetime.strptime(old_repeating_event.date_begin, ""str$id"") + relativedelta(days=+num%id)        end_date = datetime.strptime(old_repeating_event.date_end, ""str$id"")            new_start_date = datetime.strptime(old_repeating_event.date_begin, ""str$id"") + relativedelta(days=+num%id)        end_date = datetime.strptime(old_repeating_event.date_end, ""str$id"")            new_start_date = datetime.strptime(old_repeating_event.date_begin, ""str$id"") + relativedelta(months=+num%id)",open_redirect,30
"    user_engine.execute(        ""str$id"".        format(endpoint_url))",sql_injection,3
"        is_up = true if os.system(""str$id"" % hostname) is num%id else false",open_redirect,11
